indice_tiempo,natalidad_argentina,natalidad_ciudad_autonoma_de_buenos_aires,natalidad_buenos_aires,natalidad_catamarca,natalidad_cordoba,natalidad_corrientes,natalidad_chaco,natalidad_chubut,natalidad_entre_rios,natalidad_formosa,natalidad_jujuy,natalidad_la_pampa,natalidad_la_rioja,natalidad_mendoza,natalidad_misiones,natalidad_neuquen,natalidad_rio_negro,natalidad_salta,natalidad_san_juan,natalidad_san_luis,natalidad_santa_cruz,natalidad_santa_fe,natalidad_santiago_del_estero,natalidad_tucuman,natalidad_tierra_del_fuego
2000-01-01,19.0,14.3,17.5,25.8,17.2,22.7,25.8,19.4,21.3,25.7,22.6,18.1,22.6,19.2,25.8,17.9,18.9,24.0,22.7,22.3,19.6,16.9,21.6,22.6,19.9
2001-01-01,18.2,13.9,16.9,24.9,15.9,21.9,22.2,18.4,20.5,22.4,23.1,17.2,20.5,19.1,24.2,16.8,17.8,24.2,23.7,22.3,19.8,16.2,21.1,21.1,17.9
2002-01-01,18.3,13.6,17.0,24.4,16.6,23.3,24.9,17.1,19.5,25.1,22.1,16.7,21.4,16.9,22.9,16.1,17.3,24.7,22.3,22.0,19.2,16.7,22.1,22.6,17.2
2003-01-01,18.4,14.2,17.3,22.5,17.5,22.2,20.9,18.7,19.8,25.0,20.3,18.3,21.2,17.5,24.1,19.4,18.6,22.0,22.2,21.7,21.9,17.3,17.8,21.8,20.8
2004-01-01,19.3,14.9,18.5,20.6,17.8,22.7,25.1,19.3,19.5,26.5,21.3,17.4,21.1,18.4,26.4,19.8,18.3,23.9,22.5,21.9,22.4,17.6,19.7,21.0,19.5
2005-01-01,18.5,14.5,17.9,19.7,17.1,20.2,22.6,19.2,19.0,23.5,19.9,16.9,20.8,18.8,23.0,20.0,18.7,22.5,21.4,19.9,22.9,16.3,21.0,19.9,20.7
2006-01-01,17.9,14.6,17.7,18.3,16.5,18.7,19.6,20.0,17.2,21.4,18.4,16.5,19.0,19.0,19.9,20.5,18.6,21.0,20.7,20.2,23.5,15.8,20.0,18.5,20.1
2007-01-01,17.8,14.1,17.7,18.3,16.3,18.9,18.4,20.2,16.9,21.1,18.6,16.2,18.4,19.3,20.4,20.5,18.9,20.6,20.8,19.3,23.8,15.7,19.4,19.7,20.8
2008-01-01,18.8,15.1,18.6,18.6,17.4,19.7,20.8,21.4,17.2,22.6,19.1,16.5,19.0,20.2,23.1,21.0,19.9,21.4,20.7,19.3,25.0,16.9,20.5,19.9,20.8
2009-01-01,18.6,14.6,18.4,17.4,17.4,19.9,20.4,21.3,17.5,21.9,19.2,16.3,17.9,19.7,23.7,20.9,19.6,21.0,20.6,18.2,25.2,16.5,21.9,19.1,20.2
